date,sales,promotion,price
2025-01-01,159.28,1,99.45
2025-01-02,151.36,0,99.55
2025-01-03,154.99,0,98.22
2025-01-04,140.52,0,99.83
2025-01-05,134.41,0,99.56
2025-01-06,128.46,0,98.99
2025-01-07,134.56,0,98.7
2025-01-08,144.05,0,98.91
2025-01-09,156.96,0,98.38
2025-01-10,185.68,1,99.99
2025-01-11,154.17,0,99.32
2025-01-12,131.72,0,99.69
2025-01-13,135.74,0,99.81
2025-01-14,133.57,0,99.81
2025-01-15,150.91,0,98.39
2025-01-16,153.66,0,98.54
2025-01-17,149.52,0,99.24
2025-01-18,151.97,0,98.9
2025-01-19,165.81,1,98.28
2025-01-20,128.78,0,98.85
2025-01-21,137.84,0,99.54
2025-01-22,149.03,0,99.42
2025-01-23,165.92,0,99.8
2025-01-24,167.87,0,99.44
2025-01-25,155.37,0,99.26
2025-01-26,142.4,0,99.58
2025-01-27,137.13,0,98.7
2025-01-28,173.45,1,98.78
2025-01-29,157.84,0,99.67
2025-01-30,173.34,0,99.24
