customer_id,age,tenure_months,orders,avg_order_value,sessions,support_tickets,discount_rate,delivery_delay_days,satisfaction_score,churn,revenue,conversion_rate
10001,22,53,5,1026.6,8,3,0.177,3.6,3.33,0,4224.46,0.0331
10002,55,29,3,798.69,9,2,0.072,2.5,3.95,0,2223.55,0.0421
10003,49,60,6,839.67,12,2,0.55,2.0,3.96,1,2267.11,0.0485
10004,39,46,5,765.54,8,1,0.224,0.0,4.59,0,2970.3,0.067
10005,38,40,2,1005.31,12,1,0.245,4.2,3.11,0,1518.02,0.0356
10006,59,55,6,669.91,13,1,0.295,3.3,3.92,0,2833.72,0.0442
10007,22,31,4,802.22,13,2,0.208,2.4,4.54,1,2541.43,0.0388
10008,51,44,4,261.21,4,2,0.201,0.0,4.82,0,834.83,0.0415
10009,27,18,3,1280.77,14,4,0.311,1.6,3.92,1,2647.35,0.0378
10010,22,58,4,794.88,8,0,0.329,3.1,5.0,0,2133.46,0.0421
10011,43,38,3,963.9,13,0,0.187,2.4,3.91,1,2350.95,0.0444
10012,64,47,6,1214.45,8,1,0.238,2.7,3.97,1,5552.47,0.0479
10013,53,28,2,925.07,7,1,0.132,3.6,3.2,1,1605.92,0.0323
10014,54,53,8,1211.09,14,0,0.166,2.7,3.93,1,8080.39,0.0459
10015,52,5,6,539.57,5,1,0.074,3.5,4.67,1,2997.85,0.0523
10016,55,7,8,1449.34,11,0,0.057,1.0,4.26,1,10933.82,0.0484
10017,42,31,3,1121.78,10,3,0.334,0.3,3.56,1,2241.32,0.0439
10018,24,44,8,902.3,10,1,0.154,3.2,4.32,0,6106.77,0.0579
10019,58,49,5,1206.27,8,1,0.14,3.6,4.03,0,5186.96,0.0433
10020,39,27,5,557.84,5,1,0.153,3.3,4.28,1,2362.45,0.0502
10021,42,39,2,777.85,16,4,0.413,2.6,3.6,0,913.2,0.0247
10022,35,34,6,1211.06,14,0,0.253,1.8,3.82,1,5427.97,0.0373
10023,26,58,5,383.23,5,0,0.266,2.8,4.01,0,1406.45,0.0489
10024,62,40,5,990.11,4,2,0.039,3.0,4.11,1,4757.48,0.0534
10025,55,26,3,983.04,8,1,0.198,3.1,3.91,1,2365.19,0.0395
10026,48,59,3,1342.31,10,1,0.55,6.8,3.45,1,1812.12,0.0436
10027,37,7,3,454.26,9,0,0.019,0.8,4.21,0,1336.89,0.0386
10028,57,60,6,1252.41,8,0,0.393,7.9,3.37,1,4561.28,0.0307
10029,44,10,8,710.13,8,1,0.236,0.3,4.44,1,4340.31,0.0602
10030,39,18,5,738.25,7,1,0.353,3.1,3.62,0,2388.24,0.0468
10031,39,50,7,544.5,6,1,0.187,0.4,4.49,0,3098.75,0.0546
10032,28,45,5,578.04,8,1,0.252,2.9,3.8,1,2161.87,0.0391
10033,22,59,3,950.88,9,0,0.18,4.1,4.14,0,2339.16,0.044
10034,44,45,5,571.92,10,3,0.141,2.5,4.24,0,2456.4,0.0497
10035,60,39,3,1035.07,8,0,0.187,4.1,4.09,0,2524.54,0.0379
10036,21,21,3,684.26,12,0,0.233,1.7,3.56,0,1574.48,0.0446
10037,59,1,3,546.74,6,0,0.078,0.0,4.17,1,1512.28,0.0478
10038,57,8,6,718.05,6,1,0.248,3.5,3.58,1,3239.84,0.044
10039,31,18,5,934.18,7,0,0.182,2.5,3.79,0,3820.8,0.0452
10040,48,3,5,780.66,3,0,0.343,1.6,4.07,1,2564.47,0.0448
10041,25,31,3,858.55,6,0,0.195,1.7,4.71,0,2073.4,0.043
10042,54,47,4,1024.05,3,1,0.5,3.1,4.26,1,2048.1,0.0425
10043,51,58,6,1120.61,11,1,0.131,1.0,4.13,0,5842.86,0.0533
10044,35,30,4,772.48,9,2,0.316,3.0,4.13,1,2113.51,0.0339
10045,21,53,4,588.94,7,0,0.065,4.4,3.96,1,2202.64,0.0469
10046,64,60,10,869.02,12,2,0.039,5.9,3.32,1,8351.28,0.044
10047,39,52,8,967.66,6,0,0.225,4.8,4.25,0,5999.49,0.0429
10048,60,28,2,484.82,10,0,0.044,2.7,3.82,0,926.98,0.0474
10049,50,20,5,627.35,11,0,0.084,2.8,4.12,0,2873.26,0.0479
10050,55,59,4,670.2,14,2,0.35,1.7,3.62,0,1742.52,0.0366
10051,54,15,5,798.04,6,0,0.059,1.6,3.86,1,3754.78,0.0579
10052,27,25,2,659.74,17,0,0.269,3.9,3.29,1,964.54,0.0403
10053,35,5,6,1026.76,12,0,0.11,1.9,3.81,0,5482.9,0.044
10054,40,48,6,448.72,8,1,0.057,3.0,4.0,0,2538.86,0.0464
10055,41,39,6,455.07,11,6,0.2,0.8,3.72,1,2184.34,0.0483
10056,20,6,5,766.53,9,0,0.294,4.7,3.63,1,2705.85,0.0295
10057,44,14,5,806.09,7,0,0.066,1.9,4.12,1,3764.44,0.0514
10058,25,34,4,486.34,7,2,0.273,4.2,4.44,0,1414.28,0.0496
10059,53,33,6,698.31,9,3,0.085,1.2,3.57,0,3833.72,0.0533
10060,50,49,4,749.74,6,0,0.231,1.1,3.84,0,2306.2,0.0473
10061,62,16,5,751.68,9,1,0.266,4.7,3.27,0,2758.67,0.0444
10062,53,56,9,887.97,10,1,0.17,1.3,4.23,0,6633.14,0.0506
10063,35,27,8,684.61,9,0,0.25,0.0,4.83,0,4107.66,0.0733
10064,64,50,4,1219.46,7,1,0.035,0.6,4.67,1,4707.12,0.0485
10065,37,15,5,972.05,12,2,0.039,3.9,4.12,0,4670.7,0.0415
